respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.05000371491249075,0.2970413752904157
26708,0.046349518574377746,0.0464147420255839
26709,0.3669865531532111,0.5148911325575372
26710,0.5141468033667319,0.8814827832939982
26711,0.15011858209089868,0.45755453011528774
26712,0.46192241173827375,0.9251812455547598
26713,0.34469219671588,0.6003024311655434
26714,0.14495049339393135,0.22558886737991826
26715,0.03944016737949432,0.1491775670709243
26716,0.22537140219825685,0.8947065023024685
26717,0.011823911182572443,0.3051687473812944
26718,0.213787485072239,0.5484323230942745
26719,0.06826088949244145,0.9152530808210526
26720,0.06027548564143856,0.20840201901481387
26721,0.2734818558630593,0.34077835620285046
26722,0.07222403214210765,0.09760639647873799
26723,0.6975574954883016,0.8736546729859749
26724,0.1302129374094663,0.6460770250326436
26725,0.02670810565133363,0.07523660898310683
26726,0.010818866575720726,0.03122097694727831
26727,0.3463720526283774,0.8413687193969563
26728,0.16665725217510138,0.6010879704233392
26729,0.4289645852639384,0.9060244867622567
26730,0.03430726821093865,0.19255200781098006
26731,0.020826373387258634,0.33731481414202014
26732,0.08653050239199128,0.0750907717995678
26733,0.9199664691278033,0.9551874962650604
26734,0.9000224632709651,0.3560344292739923
26735,0.14704733087396982,0.4898419446300074
26736,0.053413727738886925,0.1598586232115147
26737,0.08161260387115564,0.10115093918658916
26738,0.5712902658322716,0.8041833880305139
26739,0.13247527961699285,0.2728905895348703
26740,0.1441383782463636,0.12519409566449247
26741,0.213236316797781,0.9052767072496304
26742,0.09717044315947357,0.4285723052797844
26743,0.04812093525330482,0.5626498033678431
26744,0.05275807804748064,0.6477722234476134
26745,0.1173625625380482,0.9339117814003942
26746,0.10996494117324143,0.3271322464129484
26747,0.07071164049752432,0.16248863580011985
26748,0.08722641350299346,0.03781664767890078
26749,0.11685050162669863,0.7004251038830256
26750,0.6662376284460153,0.9323236751729604
26751,0.28516618528911963,0.7129790879375905
26752,0.022636232275006784,0.018382555662346384
26753,0.22493845075391242,0.6853091419799381
26754,0.12552030739532213,0.5999726456304332
26755,0.09610267029303894,0.37787549115353225
26756,0.019399732455829093,0.03199255650139861
26757,0.4215431840303826,0.532903092842448
26758,0.6938150877853988,0.8833937090304014
26759,0.038972788586962584,0.2255440763920046
26760,0.01379095907598708,0.028556353011519955
26761,0.16086711926428499,0.6226032223378676
26762,0.14226866649314066,0.8236457662987062
26763,0.8948757760491372,0.9694001757103999
26764,0.9204888753056312,0.9643084875352952
26765,0.031664722679073484,0.6922443532224324
26766,0.10187558564219087,0.17139025687493956
26767,0.7751670873212597,0.7520119131911325
26768,0.010919819925654132,0.42223562703411177
26769,0.12330712087735668,0.16005409722153155
26770,0.09194550407941696,0.5210685386852842
26771,0.06153612408547308,0.20326878066638807
26772,0.04951617050596673,0.43144339785560243
26773,0.014364456722344151,0.46872707604500824
26774,0.0297864577227054,0.555215511080448
26775,0.07066157749414143,0.4992369368142674
26776,0.3467953673661617,0.3203531250393991
26777,0.10277997670410804,0.9373292220742826
26778,0.12011629799576445,0.08473832670146406
26779,0.12110331171331667,0.5273822629030254
26780,0.11492817344348476,0.9659277238989677
26781,0.041631374985044725,0.49337592066511465
26782,0.04151803114625222,0.28041875291524215
26783,0.0758152453969909,0.3369561150527351
26784,0.4127383744138709,0.8794453074036712
26785,0.3583675115317258,0.5863017382532536
26786,0.08091863137759796,0.3049413222970167
26787,0.09882608689642605,0.5044646525884191
26788,0.10183263418565512,0.9102159181263828
26789,0.011608265931187623,0.22882387714129068
26790,0.061010181341604075,0.2928362678987102
26791,0.0833110005509378,0.12972638404882147
26792,0.19117990754943642,0.7423836682572359
26793,0.1254589572503995,0.9052271359181131
26794,0.7856620834171548,0.8963351737566192
26795,0.04809322301152606,0.9563585457789332
26796,0.08027897182579567,0.06012930895008164
26797,0.11568221720010409,0.6360835423305852
26798,0.20632250209139472,0.16534587708751558
26799,0.25208322294403207,0.2127035541197844
26800,0.033181089125885695,0.9182180148303819
26801,0.255241461771544,0.40151073708521673
26802,0.08264308543294249,0.1647210479124665
26803,0.061249337445767195,0.1767447451975831
26804,0.0794084319832424,0.12625446935990955
26805,0.09077682012774171,0.22095677107785872
26806,0.08163545160297395,0.9184989812798143
26807,0.699970841945695,0.9571750556879626
26808,0.2867796876389214,0.587737353189302
26809,0.7064154564620182,0.14424559148609692
26810,0.038829355304650884,0.10642688158874397
26811,0.04437506227332611,0.05538078105583632
26812,0.17167119101750608,0.6428273090316172
26813,0.34232088833447316,0.3293989754601587
26814,0.03288364644654958,0.5115166607232267
26815,0.042751632977837,0.08622427013423335
26816,0.04827793911538258,0.20531466292751624
26817,0.1699337123710263,0.7705084305494435
